limit_bal,age,pay_0,pay_2,pay_3,pay_4,pay_5,pay_6,bill_amt1,bill_amt2,bill_amt3,bill_amt4,bill_amt5,bill_amt6,pay_amt1,pay_amt2,pay_amt3,pay_amt4,pay_amt5,pay_amt6,sex_1,sex_2,education_1,education_2,education_3,education_4,marriage_1,marriage_2,marriage_3,target
1.5126153,-0.8172271,-0.9004944,-0.7365188,-0.71321434,-0.68870467,-0.66320854,-0.6311224,-0.34962186,-0.7075109,-0.6873542,-0.7045876,-0.695725,-0.5844821,-0.10591685,-0.29719448,-0.4500306,-0.4339772,0.18199997,-0.24017167,-0.8144784,0.8144784,1.3564497,-0.93938863,-0.44074845,-0.12929615,-0.9120184,0.93600905,-0.11451615,0
-0.839072,1.3949326,1.8627001,0.119787775,0.15117149,0.20726843,0.26033735,0.2696232,-0.10255879,-0.14098924,-0.1308259,-0.08036056,-0.019457286,0.023444163,-0.3543018,-0.3304197,-0.2690414,-0.3010268,-0.28786993,-0.32114866,-0.8144784,0.8144784,-0.73719585,-0.93938863,2.2687707,-0.12929615,-0.9120184,0.93600905,-0.11451615,0
0.25838208,-0.70661914,-0.9004944,-0.7365188,-0.71321434,0.20726843,-0.66320854,-0.6311224,-0.65929896,-0.7260685,-0.7077093,-0.69695914,-0.6916808,-0.664645,-0.5343677,-0.42476764,-0.47767448,-0.40921718,-0.2920593,-0.28365105,1.2276739,-1.2276739,1.3564497,-0.93938863,-0.44074845,-0.12929615,-0.9120184,0.93600905,-0.11451615,1
-0.9174616,-0.70661914,0.020570448,0.119787775,1.8799431,1.9992145,2.1074293,2.0711145,-0.57703084,-0.53013283,-0.5236167,-0.47859633,-0.46202055,-0.42872155,-0.23778862,-0.49509272,-0.32119966,-0.46250498,-0.3319685,-0.4104287,-0.8144784,0.8144784,1.3564497,-0.93938863,-0.44074845,-0.12929615,-0.9120184,0.93600905,-0.11451615,1
-0.6822929,-0.48540318,0.020570448,0.119787775,0.15117149,0.20726843,0.26033735,0.2696232,0.00977266,0.06326383,0.116650514,0.1946614,0.27893752,0.33081332,-0.2166044,-0.2529265,-0.2690414,-0.19337466,-0.18864824,-0.1872286,-0.8144784,0.8144784,-0.73719585,1.0645217,-0.44074845,-0.12929615,1.096587,-1.068293,-0.11451615,0
-0.9174616,1.5055406,0.020570448,0.119787775,0.15117149,0.20726843,0.26033735,0.2696232,-0.034811985,-0.31383595,-0.36085287,-0.37396553,-0.34429792,-0.3309084,-0.39815316,1.5950924,-0.3410198,-0.3865026,-0.37540555,-0.351861,1.2276739,-1.2276739,-0.73719585,-0.93938863,2.2687707,-0.12929615,-0.9120184,0.93600905,-0.11451615,0
0.023213359,-1.0384431,0.020570448,0.119787775,0.15117149,0.20726843,0.26033735,0.2696232,1.3056172,1.4181192,1.3598903,1.3129185,1.4537197,1.4152597,0.0072068754,-0.057837382,-0.021185275,0.014609257,-0.007623739,-0.10196617,-0.8144784,0.8144784,-0.73719585,1.0645217,-0.44074845,-0.12929615,-0.9120184,0.93600905,-0.11451615,0
-0.6822929,1.1737167,-0.9004944,-0.7365188,-0.71321434,0.20726843,-0.66320854,-0.6311224,-0.69466764,-0.6910401,-0.64628845,-0.6700857,-0.6590631,-0.6476059,-0.2854531,-0.039820217,-0.47767448,-0.20952249,-0.20518519,-0.3791807,-0.8144784,0.8144784,-0.73719585,1.0645217,-0.44074845,-0.12929615,1.096587,-1.068293,-0.11451615,0
-0.9174616,-1.259659,0.020570448,0.119787775,0.15117149,0.20726843,0.26033735,0.2696232,-0.24135923,-0.20122325,-0.15846068,-0.095700234,-0.033207715,0.07053539,-0.3331176,-0.3093028,-0.30033636,-0.3010268,0.086967625,-0.4104287,-0.8144784,0.8144784,1.3564497,-0.93938863,-0.44074845,-0.12929615,-0.9120184,0.93600905,-0.11451615,1
-1.1526303,-1.259659,0.020570448,0.119787775,0.15117149,0.20726843,0.26033735,-0.6311224,-0.4601561,-0.45933068,-0.41602966,-0.38296744,-0.63908803,-0.68626744,-0.38607815,-0.30135974,-0.37335792,-0.41944414,-0.44232506,-0.4104287,1.2276739,-1.2276739,-0.73719585,-0.93938863,2.2687707,-0.12929615,-0.9120184,0.93600905,-0.11451615,0
